dataset,created,modified
http://thedatahub.org/dataset/government-web-integration-for-linked-data,2011-03-03T13:03:03.937681,2012-07-04T11:01:44.887481
http://thedatahub.org/dataset/rkb-explorer-ibm,2010-08-23T13:44:59.084816,2012-07-04T21:30:49.388752
http://thedatahub.org/dataset/fu-berlin-dailymed,2010-08-02T15:39:04.044142,2012-03-14T14:47:33.011628
http://thedatahub.org/dataset/geonames-semantic-web,2010-08-26T14:30:35.228257,2012-04-17T09:15:55.929092
http://thedatahub.org/dataset/temple-ov-thee-lemur-datasets,2010-09-02T20:25:57.346649,2011-08-15T17:01:35.545027
http://thedatahub.org/dataset/zaragoza-turismo,2011-06-30T09:38:28.567793,2011-11-13T20:07:14.300438
http://thedatahub.org/dataset/twc-logd,2010-09-01T10:07:22.564470,2011-11-02T04:08:52.622074
http://thedatahub.org/dataset/bibbase,2010-09-07T05:12:23.192848,2012-01-26T09:53:02.889615
http://thedatahub.org/dataset/data-incubator-metoffice,2011-07-31T21:51:58.894493,2011-09-06T15:27:45.456153
http://thedatahub.org/dataset/data-incubator-moseley,2010-07-28T23:34:19.392709,2011-08-15T16:50:32.619750
http://thedatahub.org/dataset/iserve,2010-09-06T16:20:33.811021,2012-12-07T11:37:36.279798
http://thedatahub.org/dataset/vu-wordnet,2010-09-05T17:14:51.499151,2012-09-19T17:33:16.921398
http://thedatahub.org/dataset/bio2rdf-obo,2010-08-30T10:22:13.190100,2011-09-15T20:06:58.716367
http://thedatahub.org/dataset/dbtune-audioscrobbler,2010-07-29T20:46:58.738453,2011-09-11T21:31:18.295499
http://thedatahub.org/dataset/jamendo-dbtune,2009-10-27T19:01:57.809951,2011-07-19T09:36:38.505967
http://thedatahub.org/dataset/fu-berlin-eures,2011-07-18T15:49:23.191987,2012-08-03T08:38:34.346828
http://thedatahub.org/dataset/rkb-explorer-rae2001,2010-08-23T13:46:40.431056,2012-07-04T21:33:20.425793
http://thedatahub.org/dataset/oxpoints,2011-02-23T15:22:35.825761,2012-12-18T15:51:12.769518
http://thedatahub.org/dataset/rkb-explorer-dblp,2010-08-23T13:24:16.342121,2012-07-04T21:29:40.063007
http://thedatahub.org/dataset/govtrack,2009-03-18T13:51:07.259820,2011-08-15T17:02:26.964744
http://thedatahub.org/dataset/fu-berlin-medicare,2010-09-01T09:38:39.542236,2011-07-20T22:11:54.868226
http://thedatahub.org/dataset/data-incubator-climb,2010-09-17T00:02:49.699024,2011-08-15T16:33:04.493242
http://thedatahub.org/dataset/linkedlccn,2010-09-09T20:30:09.149034,2012-01-26T09:56:47.698890
http://thedatahub.org/dataset/bio2rdf-unists,2010-08-31T15:50:42.338795,2012-09-12T18:10:47.794078
http://thedatahub.org/dataset/renewable_energy_generators,2011-07-15T13:23:45.563393,2011-10-20T10:50:39.786211
http://thedatahub.org/dataset/eumida-linked-data,2011-10-28T07:58:02.867560,2012-08-04T21:12:15.209807
http://thedatahub.org/dataset/rkb-explorer-crime,2011-06-06T11:42:50.182074,2011-09-06T15:30:37.075880
http://thedatahub.org/dataset/lobid-organisations,2010-09-03T11:52:23.177120,2013-03-08T13:05:52.394427
http://thedatahub.org/dataset/patents-data-gov-uk,2010-09-19T20:51:53.999970,2011-09-08T08:34:17.595263
http://thedatahub.org/dataset/hellenic-police,2011-07-12T14:52:18.633786,2012-11-01T21:26:57.986909
http://thedatahub.org/dataset/t4gm-info,2009-10-27T19:02:17.316586,2012-06-13T10:09:16.041014
http://thedatahub.org/dataset/prefix-cc,2011-10-27T15:34:24.881662,2011-10-27T15:51:00.522987
http://thedatahub.org/dataset/rechtspraak,2010-09-06T11:03:10.915617,2013-01-23T19:35:50.847058
http://thedatahub.org/dataset/twarql,2010-09-01T10:10:41.540182,2011-07-24T10:49:24.713047
http://thedatahub.org/dataset/traffic-scotland,2011-01-07T01:27:29.583566,2012-12-11T08:28:38.803553
http://thedatahub.org/dataset/farmers-markets-geographic-data-united-states,2011-11-29T14:11:14.282333,2012-05-19T22:26:43.223053
http://thedatahub.org/dataset/rkb-explorer-courseware,2010-08-23T13:23:47.626867,2012-07-02T10:44:44.472898
http://thedatahub.org/dataset/transport-data-gov-uk,2010-09-06T09:43:24.086965,2011-07-20T10:45:33.044731
http://thedatahub.org/dataset/knoesis-linked-sensor-data,2010-07-28T10:36:56.649366,2012-11-02T23:31:20.567984
http://thedatahub.org/dataset/rdfize-lastfm,2010-09-10T10:49:53.688259,2011-07-20T19:23:20.491221
http://thedatahub.org/dataset/geowordnet,2011-04-06T06:27:56.396513,2011-09-06T15:31:45.724722
http://thedatahub.org/dataset/tcmgenedit_dataset,2009-10-27T19:02:16.706821,2011-07-20T14:18:54.209690
http://thedatahub.org/dataset/sec-rdfabout,2009-10-27T19:02:19.423159,2011-07-20T20:37:26.778643
http://thedatahub.org/dataset/uniprot,2009-10-27T19:02:17.830154,2012-09-26T14:25:15.123232
http://thedatahub.org/dataset/semsol-crunchbase,2010-08-29T15:03:04.604574,2011-07-12T22:24:20.582406
