Term,Local Name,Term Type,Count,Query,Query DateTime
http://www.w3.org/ns/prov#Create,Create,class,0,http://lod.openlinksw.com/sparql?query=select%20count%28%3fs%29%20where%20%7b%3fs%20a%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23Create%3e%7d&output=csv,2014-02-20T16:38:46+00:00
http://www.w3.org/ns/prov#Insertion,Insertion,class,0,http://lod.openlinksw.com/sparql?query=select%20count%28%3fs%29%20where%20%7b%3fs%20a%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23Insertion%3e%7d&output=csv,2014-02-20T16:39:07+00:00
http://www.w3.org/ns/prov#Derivation,Derivation,class,0,http://lod.openlinksw.com/sparql?query=select%20count%28%3fs%29%20where%20%7b%3fs%20a%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23Derivation%3e%7d&output=csv,2014-02-20T16:39:49+00:00
http://www.w3.org/ns/prov#Removal,Removal,class,0,http://lod.openlinksw.com/sparql?query=select%20count%28%3fs%29%20where%20%7b%3fs%20a%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23Removal%3e%7d&output=csv,2014-02-20T16:40:10+00:00
http://www.w3.org/ns/prov#End,End,class,0,http://lod.openlinksw.com/sparql?query=select%20count%28%3fs%29%20where%20%7b%3fs%20a%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23End%3e%7d&output=csv,2014-02-20T16:40:44+00:00
http://www.w3.org/ns/prov#ActivityInfluence,ActivityInfluence,class,0,http://lod.openlinksw.com/sparql?query=select%20count%28%3fs%29%20where%20%7b%3fs%20a%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23ActivityInfluence%3e%7d&output=csv,2014-02-20T16:40:54+00:00
http://www.w3.org/ns/prov#Bundle,Bundle,class,0,http://lod.openlinksw.com/sparql?query=select%20count%28%3fs%29%20where%20%7b%3fs%20a%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23Bundle%3e%7d&output=csv,2014-02-20T16:41:26+00:00
http://www.w3.org/ns/prov#Creator,Creator,class,0,http://lod.openlinksw.com/sparql?query=select%20count%28%3fs%29%20where%20%7b%3fs%20a%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23Creator%3e%7d&output=csv,2014-02-20T16:42:42+00:00
http://www.w3.org/ns/prov#Plan,Plan,class,0,http://lod.openlinksw.com/sparql?query=select%20count%28%3fs%29%20where%20%7b%3fs%20a%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23Plan%3e%7d&output=csv,2014-02-20T16:42:52+00:00
http://www.w3.org/ns/prov#Entity,Entity,class,33,http://lod.openlinksw.com/sparql?query=select%20count%28%3fs%29%20where%20%7b%3fs%20a%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23Entity%3e%7d&output=csv,2014-02-20T16:43:03+00:00
http://www.w3.org/ns/prov#Collection,Collection,class,0,http://lod.openlinksw.com/sparql?query=select%20count%28%3fs%29%20where%20%7b%3fs%20a%20%3chttp%3a%2f%2fwww.w3.org%2fns%2fprov%23Collection%3e%7d&output=csv,2014-02-20T16:43:13+00:00
